ticker,ann_date,surprise,beat,drift_return
KO,2024-02-13,0.33,True,0.012312347397857915
KO,2023-10-24,6.49,True,0.017284276736416526
KO,2023-07-26,8.14,True,-0.02434324138519206
KO,2023-04-24,5.4,True,-0.007204545574101662
KO,2023-02-14,0.18,True,0.0021816000269789804
KO,2022-10-25,8.32,True,-0.01043960001561095
KO,2022-07-26,4.69,True,0.01015711992842161
KO,2022-04-25,10.44,True,-0.015987768313256767
KO,2022-02-10,9.35,True,0.03234381932509822
KO,2021-10-27,12.2,True,0.01249088521706554
KO,2021-07-21,20.51,True,0.000531174092112785
KO,2021-04-19,9.06,True,-0.0005537041168407475
KO,2021-02-10,12.45,True,-0.026043831946393037
KO,2020-10-22,18.92,True,-0.021179788197636218
PEP,2026-04-16,3.75,True,-0.001649018265943214
PEP,2026-02-03,1.02,True,-0.009567917761816425
PEP,2025-10-09,1.33,True,0.009794624188055545
PEP,2025-07-17,4.48,True,-0.027645937446220126
PEP,2025-04-24,-0.77,False,-0.02204218995308116
PEP,2025-02-04,0.9,True,0.023616491013486618
PEP,2024-10-08,0.74,True,0.0023764600145708137
PEP,2024-07-11,5.57,True,0.03828571688312654
PEP,2024-04-23,5.96,True,0.0
PEP,2024-02-09,3.43,True,-0.014360124355958237
PEP,2023-10-10,4.44,True,-0.0016602783676840094
PEP,2023-07-13,6.56,True,0.011157807143286735
PEP,2023-04-25,8.23,True,0.03039144953630002
PEP,2023-02-09,1.22,True,-0.0016457749847466063
PEP,2022-10-12,6.68,True,0.024454505240675273
PEP,2022-07-12,7.1,True,0.00875937331605603
PEP,2022-04-26,4.54,True,-0.023963249543575316
PEP,2022-02-10,0.92,True,-0.028710420950804227
PEP,2021-10-05,3.27,True,0.040978009173060936
PEP,2021-07-13,12.72,True,0.012618424978012799
PEP,2021-04-15,8.0,True,0.0
PEP,2021-02-11,0.7,True,-0.024277202637893236
PEP,2020-10-01,11.58,True,0.026582496451952986
DIS,2026-05-06,4.98,True,-0.04675136513182443
DIS,2026-02-02,3.44,True,0.02763386102318255
